Instituição;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);SR;TCip;
BCO ARBI S.A. - PRUDENCIAL;1000081201;b1;I;2;RIO DE JANEIRO;RJ;12/2025;Sim;Não;1.868.163;0;S4;1
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;I;3;SAO PAULO;SP;12/2025;Sim;Não;1.307.330;0;S4;1
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;I;3;SAO PAULO;SP;12/2025;Sim;Não;6.123.437;0;S4;1
BCO CEDULA S.A. - PRUDENCIAL;1000081469;b1;I;2;RIO DE JANEIRO;RJ;12/2025;Sim;Não;82.243;0;S4;1
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;C;2;RIO DE JANEIRO;RJ;12/2025;Sim;Não;32.315.767;0;S3;1
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;C;2;PORTO ALEGRE;RS;12/2025;Sim;Não;224.149.687;0;S2;1
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;I;2;SAO PAULO;SP;12/2025;Sim;Não;26.368.285;0;S3;1
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;I;1;BELEM;PA;12/2025;Sim;Não;75.722.867;0;S3;1
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;C;2;SAO PAULO;SP;12/2025;Sim;Não;108.090.475;1.791.692;S3;1
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;I;3;PORTO ALEGRE;RS;12/2025;Sim;Não;13.948.906;0;S3;1
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;I;1;BELO HORIZONTE;MG;12/2025;Sim;Não;15.757.873;0;S3;1
BCO DES. DO ES S.A. - PRUDENCIAL;1000081304;b4;I;1;VITORIA;ES;12/2025;Sim;Não;1.689.034;0;S4;1
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;C;1;ARACAJU;SE;12/2025;Sim;Não;13.910.528;0;S4;1
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;I;1;BELEM;PA;12/2025;Sim;Não;19.029.423;0;S3;1
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;C;1;FORTALEZA;CE;12/2025;Sim;Não;158.088.653;0;S2;1
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;C;2;SAO PAULO;SP;12/2025;Sim;Não;23.088.335;827.809;S3;1
BCO GUANABARA S.A. - PRUDENCIAL;1000081672;b1;C;2;RIO DE JANEIRO;RJ;12/2025;Sim;Não;2.412.433;0;S4;1
