Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito;Títulos e Valores Mobiliários;Passivo Exigível;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA (e);Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;12/2025;23.468.747;325.485;4.104.944;21.985.877;807.345;1.482.870;83.455;889.437;17,62%;1,04%;0;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;12/2025;23.088.555;18.123.829;936.366;19.948.268;4.240.181;3.140.287;193.210;2.987.514;16,18%;3,86%;2;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;12/2025;22.413.943;6.959.771;11.443.902;21.116.179;19.937.800;1.297.764;111.576;1.092.922;10,69%;14,01%;2;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;12/2025;21.344.414;10.393.451;3.570.830;17.205.208;15.619.762;4.139.206;281.991;4.088.729;26,19%;0,28%;2;0
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;12/2025;21.094.349;12.594.782;5.757.509;19.179.894;16.921.089;1.914.455;0;2.847.202;15,30%;1,67%;16;1
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2025;20.167.121;18.557.179;297.427;17.788.050;17.094.189;2.379.071;66.477;2.376.500;13,17%;0,51%;4;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;12/2025;19.508.379;14.982.788;1.698.921;17.265.716;16.386.149;2.242.664;75.227;2.254.495;16,66%;5,80%;165;34
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;12/2025;18.796.082;3.447.293;3.526.901;15.824.886;11.718.655;2.971.196;87.733;2.971.719;18,05%;0,77%;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;12/2025;18.708.813;0;6.329.558;17.864.751;326.537;844.061;51.165;514.667;18,26%;1,59%;0;0
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;12/2025;18.441.378;3.271.858;3.924.508;13.542.408;6.508.150;4.898.970;-154.534;4.426.866;35,90%;4,18%;15;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;12/2025;18.262.538;8.878.896;2.283.008;14.747.822;12.943.124;3.514.716;227.759;3.423.710;29,10%;3,58%;0;127
SOFISA - PRUDENCIAL;1000080271;b1;S3;C;2;SAO PAULO;SP;12/2025;18.116.645;8.028.948;8.326.669;16.986.111;15.825.198;1.130.534;46.627;1.532.662;16,93%;8,42%;26;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;12/2025;17.657.175;9.873.713;4.468.374;11.409.453;8.221.334;6.247.721;504.222;2.982.926;22,38%;0,28%;5;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;C;3;SAO PAULO;SP;12/2025;17.476.000;1.923.957;4.613.060;14.363.416;12.193.481;3.112.585;334.073;3.029.951;33,55%;1,21%;4;0
CLOUDWALK IP - PRUDENCIAL;1000086581;n1;S4;C;2;SAO PAULO;SP;12/2025;17.173.297;546.642;1.158.114;3.113.914;2.180.853;14.059.383;422.079;1.745.997;32,27%;NA%;2;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;12/2025;16.954.653;13.562.657;2.422;14.309.912;12.417.698;2.644.741;221.605;2.565.117;19,14%;0,89%;3;0
VOLVO - PRUDENCIAL;1000080769;b2;S3;C;3;CURITIBA;PR;12/2025;16.924.126;15.091.042;14.947;12.936.126;12.536.047;3.988.000;210.961;3.976.629;24,51%;14,66%;3;0
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S3;I;2;FRANCISCO BELTRAO;PR;12/2025;16.922.961;97.269;3.787.875;16.209.271;10.293.919;713.689;30.733;713.652;14,45%;23,18%;0;0
BR PARTNERS - PRUDENCIAL;1000080934;b2;S4;C;2;SAO PAULO;SP;12/2025;16.497.681;182.681;14.995.425;15.906.843;14.627.743;590.838;6.470;1.296.697;22,58%;1,49%;2;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;I;2;BLUMENAU;SC;12/2025;16.356.834;8.378.211;660.328;13.119.048;11.832.468;3.237.786;237.598;3.237.786;31,03%;1,41%;0;117
MIZUHO - PRUDENCIAL;1000080697;b1;S3;I;3;SAO PAULO;SP;12/2025;16.034.843;3.613.503;6.659.857;14.741.471;13.344.431;1.293.371;124.613;1.255.346;21,45%;0,27%;2;0
SCANIA - PRUDENCIAL;1000080776;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2025;16.014.785;15.011.638;3.418;14.304.781;13.930.257;1.710.005;-14.348;1.696.392;12,31%;0,80%;3;0
BANCO HSBC - PRUDENCIAL;1000084741;b1;S3;I;3;SAO PAULO;SP;12/2025;15.623.723;4.976.603;4.934.838;14.084.763;11.823.773;1.538.960;138.959;1.961.973;22,13%;1,73%;2;0
COOPERATIVA CENTRAL DE CRÉDITO UNICRED DO BRASIL - UNICRED DO BRASIL;315557;b3C;S3;I;2;SAO PAULO;SP;12/2025;15.209.280;0;9.196.916;14.548.813;145;660.467;-7.224;340.462;24,07%;9,88%;0;1
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;12/2025;14.329.089;7.912.463;4.574.365;11.919.561;10.886.962;2.409.528;120.675;2.053.823;22,17%;0,98%;2;0
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;12/2025;14.285.333;124.759;3.743.310;13.599.905;519.843;685.428;15.724;502.510;15,80%;4,50%;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;I;2;SERTAOZINHO;SP;12/2025;14.233.416;8.250.156;350.012;12.371.068;11.535.481;1.862.348;121.569;1.792.344;17,69%;5,38%;0;43
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S3;I;2;MARINGA;PR;12/2025;14.012.847;8.564.172;3.718.861;12.652.927;7.705.894;1.359.920;130.622;1.568.970;16,29%;22,13%;0;114
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S3;I;2;BLUMENAU;SC;12/2025;13.667.097;789.112;9.183.680;12.699.236;2.520.941;967.861;-3.255;545.254;36,32%;6,65%;0;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;12/2025;13.618.318;5.419.505;3.116.663;12.680.674;11.279.894;937.644;106.597;935.361;13,62%;12,80%;66;7
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;I;3;PORTO ALEGRE;RS;12/2025;13.551.609;11.737.782;0;12.463.383;11.393.248;1.088.226;-404.918;1.345.630;11,36%;5,05%;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S3;I;2;LUCAS DO RIO VERDE;MT;12/2025;13.331.046;8.393.938;3.578.897;11.334.766;5.917.791;1.996.279;170.790;2.023.437;17,73%;7,24%;0;40
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;12/2025;13.251.677;8.897.844;3.004.234;11.995.461;11.569.400;1.256.216;45.384;1.029.831;16,67%;6,85%;4;0
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;b3S;S5;I;2;LINHARES;ES;12/2025;13.152.012;8.022.133;869.302;10.642.907;8.998.278;2.509.105;429.697;2.342.157;24,37%;3,07%;0;47
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;12/2025;13.081.271;7.704.164;3.646.413;11.861.266;8.139.154;1.220.004;187.114;1.450.953;16,52%;10,69%;0;98
BCO INBURSA S.A. - PRUDENCIAL;1000081335;b1;S4;I;3;SAO PAULO;SP;12/2025;12.592.665;12.242.787;202.591;11.198.015;11.057.340;1.394.650;49.623;1.398.240;14,15%;0,07%;2;1
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS, GRANDE CURITIBA, VALE DO RIBEIRA E FORÇA DOS VENTOS - SICREDI CAMPOS GERAIS E GRANDE CURITIBA PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;12/2025;12.581.409;7.071.303;4.514.048;11.263.452;8.184.183;1.317.956;184.034;1.406.603;17,47%;11,58%;0;63
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;C;3;SAO PAULO;SP;12/2025;12.221.951;10.433.060;0;10.939.451;10.425.039;1.282.500;205.086;1.281.904;12,99%;5,27%;3;0
