Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);Títulos e Valores Mobiliários (c);Instrumentos Derivativos (d);Operações de Crédito;;;;;Operações de Arrendamento Financeiro;;;;Outras Operações com Características de Concessão de Crédito;;;;;Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago);;;Outros Ativos Realizáveis (i);Ativo Permanente (j);Ativo Total (k) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h) + (i) + (j);
;;;;;;;;;;;;;Valor Contábil Bruto (e1);Perda Esperada (e2);Hedge de Valor Justo (e3);Ajuste a Valor Justo (e4);Operações de Crédito (e);Valor Contábil Bruto (f1);Perda Esperada (f2);Hedge de Valor Justo (f3);Operações de Arrendamento Financeiro (f);Valor Contábil Bruto (g1);Perda Esperada (g2);Hedge de Valor Justo (g3);Ajuste a Valor Justo (g4);Outras Operações com Características de Concessão de Crédito (g);Valor Contábil Bruto (h1);Perda Esperada (h2);Valores a Receber de Transações de Pagamentos - Usuários Finais (Pós-pago) (h);;;;
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;12/2025;2.076;0;936.366;0;11.289.565;-6.369.139;0;0;4.920.426;0;0;0;0;0;0;0;0;0;14.389.698;-1.186.295;13.203.403;3.099.706;926.577;23.088.555
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;12/2025;243.461;540.707;11.443.902;145.316;2.354.154;-103.536;0;0;2.250.618;0;0;0;0;4.736.401;-27.248;0;0;4.709.153;0;0;0;2.899.848;180.938;22.413.943
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;12/2025;355.380;5.586.441;3.570.830;1.258.474;632.850;-596;0;0;632.254;0;0;0;0;9.769.827;-8.630;0;0;9.761.197;0;0;0;168.486;11.353;21.344.414
BANK OF CHINA (BRASIL) - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;12/2025;272.059;1.237.885;5.757.509;21.504;9.230.844;-129.990;-292;0;9.100.563;270.290;-1.573;0;268.717;3.222.176;-3.093;6.420;0;3.225.503;0;0;0;1.160.428;50.182;21.094.349
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2025;704;71.285;297.427;27.105;16.575.917;-722.813;0;0;15.853.104;13.767;-1.793;0;11.974;2.736.069;-43.967;0;0;2.692.102;0;0;0;1.184.041;29.379;20.167.121
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;12/2025;210.737;415.165;1.698.921;152;15.344.987;-591.830;0;0;14.753.157;0;0;0;0;83.998;-1.213;0;0;82.785;146.846;0;146.846;1.867.525;333.092;19.508.379
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;I;3;SAO PAULO;SP;12/2025;170.965;7.420.600;3.526.901;2.638.486;2.042.509;-1.608;0;0;2.040.900;0;0;0;0;1.597.476;-191.084;0;0;1.406.392;0;0;0;1.569.008;22.830;18.796.082
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S3;I;2;RIBEIRAO PRETO;SP;12/2025;3;11.818.342;6.329.558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;170.017;390.893;18.708.813
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;12/2025;631.060;5.871.197;3.924.508;2.016.833;2.101.490;-800;0;-142.017;1.958.673;0;0;0;0;1.284.794;-1.264;0;29.655;1.313.185;0;0;0;2.522.006;203.915;18.441.378
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;I;2;BEBEDOURO;SP;12/2025;43.755;1.123.704;2.283.008;0;6.692.024;-503.552;0;0;6.188.472;0;0;0;0;2.743.166;-52.741;0;0;2.690.424;0;0;0;5.801.586;131.589;18.262.538
