Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;IRRBB;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA (e);RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWAdrc (g6);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5) + (g6);;;;;;;;;;;;
BANESTES - PRUDENCIAL;1000080147;b1;S3;1;C;1;VITORIA;ES;12/2025;2.081.665;0;2.081.665;0;2.081.665;12.506.673;5.075;0;0;0;0;0;5.075;2.061.026;341;14.573.114;30.399.091;14,28%;14,28%;14,28%;364.328;0;6,85%;25,07%
SCANIA - PRUDENCIAL;1000080776;b2;S3;1;C;3;SAO BERNARDO DO CAMPO;SP;12/2025;1.696.392;0;1.696.392;0;1.696.392;13.030.761;0;0;0;0;0;0;0;751.741;0;13.782.502;15.587.229;12,31%;12,31%;12,31%;344.563;9.095;10,88%;0,80%
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;1;I;1;BELEM;PA;12/2025;2.040.419;0;2.040.419;214.076;2.254.495;11.920.763;36.599;0;6.989;0;1;0;43.588;1.570.065;0;13.534.416;19.029.423;15,08%;15,08%;16,66%;338.360;298.710;10,72%;5,80%
GM - PRUDENCIAL;1000080848;b2;S3;1;C;3;SAO PAULO;SP;12/2025;2.565.117;0;2.565.117;0;2.565.117;12.342.074;0;0;0;0;0;0;0;1.056.998;0;13.399.071;17.137.018;19,14%;19,14%;19,14%;334.977;320.786;14,97%;0,89%
HONDA - PRUDENCIAL;1000080611;b2;S4;1;C;3;SAO PAULO;SP;12/2025;2.982.926;0;2.982.926;0;2.982.926;10.783.764;313.363;0;0;0;559.374;0;872.738;1.672.045;0;13.328.546;17.996.118;22,38%;22,38%;22,38%;666.427;95.473;16,58%;0,28%
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;1;C;2;SAO PAULO;SP;12/2025;6.888.905;0;6.888.905;0;6.888.905;8.002.879;15.326;52;75.559;46;0;35;91.018;4.479.679;993;12.574.569;8.824.491;54,78%;54,78%;54,78%;628.728;55.640;78,07%;0,81%
UBS (BRASIL) - PRUDENCIAL;1000080219;b1;S3;1;C;3;SAO PAULO;SP;12/2025;4.426.866;0;4.426.866;0;4.426.866;4.751.661;20.166;0;750.629;660.008;378.740;284.322;2.093.865;5.487.253;0;12.332.780;24.517.288;35,90%;35,90%;35,90%;308.319;18.022;18,06%;4,18%
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S3;1;I;3;PORTO ALEGRE;RS;12/2025;911.190;0;911.190;434.440;1.345.630;11.048.847;36.006;0;0;0;6.392;0;42.398;754.123;0;11.845.367;13.948.906;7,69%;7,69%;11,36%;296.134;21.902;6,53%;5,05%
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S3;1;I;2;BEBEDOURO;SP;12/2025;3.423.710;0;3.423.710;0;3.423.710;10.678.990;0;0;0;0;0;0;0;1.086.539;0;11.765.529;18.708.348;29,10%;29,10%;29,10%;294.138;105.654;18,30%;3,58%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S3;1;I;2;LUCAS DO RIO VERDE;MT;12/2025;1.988.693;0;1.988.693;34.744;2.023.437;10.809.637;195.794;0;0;0;9.292;0;205.086;395.558;0;11.410.282;16.485.476;17,43%;17,43%;17,73%;285.257;95.325;12,06%;7,24%
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S3;1;I;2;BLUMENAU;SC;12/2025;3.237.786;0;3.237.786;0;3.237.786;9.238.632;0;0;0;0;0;0;0;1.196.703;0;10.435.335;17.635.874;31,03%;31,03%;31,03%;260.883;178.698;18,36%;1,41%
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;1;C;2;SAO PAULO;SP;12/2025;907.165;0;907.165;185.756;1.092.922;9.335.513;49.174;1.746;55.872;0;25.775;0;132.567;755.019;0;10.223.099;23.088.335;8,87%;8,87%;10,69%;255.577;10.241;3,93%;14,01%
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S3;1;I;2;SERTAOZINHO;SP;12/2025;1.792.344;0;1.792.344;0;1.792.344;9.387.526;0;0;0;0;0;0;0;746.602;0;10.134.128;14.679.672;17,69%;17,69%;17,69%;253.353;51.891;12,21%;5,38%
BCO INBURSA S.A. - PRUDENCIAL;1000081335;b1;S4;1;I;3;SAO PAULO;SP;12/2025;1.398.240;0;1.398.240;0;1.398.240;9.642.410;63;0;0;0;0;0;63;239.785;0;9.882.259;12.552.104;14,15%;14,15%;14,15%;247.056;19.029;11,14%;0,07%
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;1;C;3;SAO PAULO;SP;12/2025;1.281.904;0;1.281.904;0;1.281.904;9.149.688;0;0;0;0;23.703;0;23.703;694.797;0;9.868.189;14.175.619;12,99%;12,99%;12,99%;246.705;4.342;9,04%;5,27%
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DEXIS - SICREDI DEXIS;79342069;b3S;S3;1;I;2;MARINGA;PR;12/2025;1.460.046;0;1.460.046;108.925;1.568.970;9.075.519;6.112;0;0;0;100;0;6.211;549.634;0;9.631.364;15.608.425;15,16%;15,16%;16,29%;240.784;35.370;9,35%;22,13%
COOPERATIVA DE CRÉDITO CONEXÃO - SICOOB CONEXÃO;32430233;b3S;S5;1;I;2;LINHARES;ES;12/2025;NA;NA;NA;NA;2.342.157;9.284.917;NA;NA;NA;NA;NA;NA;0;327.083;0;9.612.000;NA;NA%;NA%;24,37%;NA;NA;NA%;3,07%
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;1;I;1;BELO HORIZONTE;MG;12/2025;2.053.823;0;2.053.823;0;2.053.823;8.262.110;15.793;0;0;0;74.450;0;90.242;910.600;0;9.262.952;15.757.873;22,17%;22,17%;22,17%;231.574;115.922;13,03%;0,98%
SOFISA - PRUDENCIAL;1000080271;b1;S3;1;C;2;SAO PAULO;SP;12/2025;1.185.846;100.425;1.286.271;246.391;1.532.662;8.151.531;9.657;0;122.823;546;42.741;0;175.767;725.530;0;9.052.828;17.695.212;13,10%;14,21%;16,93%;226.321;101.031;7,27%;8,42%
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S3;1;C;3;SAO PAULO;SP;12/2025;3.029.951;0;3.029.951;0;3.029.951;3.853.561;24.233;0;2.853.108;0;779.668;0;3.657.009;1.520.925;0;9.031.496;19.634.059;33,55%;33,55%;33,55%;225.787;100.166;15,43%;1,21%
